variant,hypothesis,tests,brier,logloss,n,delta_brier_vs_base,delta_logloss_vs_base,verdict
BASE,-,reference configuration,0.564545799671989,0.9553892837234734,745,0.0,0.0,-
H2_with_opp_adjust,H2,adding opponent-strength normalization of xG,0.5655853223279902,0.9571468506230062,745,0.0010395226560011572,0.0017575668995327698,inconclusive
H7_npxg,H7,replacing raw xG with npxG,0.5653579526157101,0.9568190274944544,745,0.0008121529437210562,0.001429743770980929,inconclusive
H8_no_decay,H8,removing exponential time-decay,0.5759339878372395,0.9705052427063883,745,0.011388188165250446,0.015115958982914846,variant_worse
H9_rho_zero,H9,forcing Dixon-Coles rho to zero,0.5643449969112652,0.9549007465233416,745,-0.0002008027607238727,-0.0004885372001318666,inconclusive
HL_90,-,half-life sensitivity: 90d,0.5661312463437295,0.957739960492084,745,0.0015854466717404314,0.00235067676861056,-
HL_365,-,half-life sensitivity: 365d,0.5676755176154042,0.9595652991965768,745,0.003129717943415211,0.004176015473103423,-
